Source,Target,weight
apis mellifera,honeybee,24
apis mellifera,honey bee,20
apis mellifera,honey bees,7
apis mellifera,pollination,1
apis mellifera,honeybees,10
apis mellifera,foraging,9
apis mellifera,hymenoptera,3
apis mellifera,apis,45
apis mellifera,pollen,1
apis mellifera,insect,3
apis mellifera,apidae,28
apis mellifera,learning,1
apis mellifera,honey,6
apis mellifera,american foulbrood,34
apis mellifera,division of labor,5
honeybee,honey bee,20
honeybee,honey bees,7
honeybee,pollination,1
honeybee,honeybees,10
honeybee,foraging,9
honeybee,hymenoptera,3
honeybee,apis,45
honeybee,pollen,1
honeybee,insect,3
honeybee,apidae,28
honeybee,learning,1
honeybee,honey,6
honeybee,american foulbrood,34
honeybee,division of labor,5
honey bee,honey bees,7
honey bee,pollination,1
honey bee,honeybees,10
honey bee,foraging,9
honey bee,hymenoptera,3
honey bee,apis,45
honey bee,pollen,1
honey bee,insect,3
honey bee,apidae,28
honey bee,learning,1
honey bee,honey,6
honey bee,american foulbrood,34
honey bee,division of labor,5
honey bees,pollination,1
honey bees,honeybees,10
honey bees,foraging,9
honey bees,hymenoptera,3
honey bees,apis,45
honey bees,pollen,1
honey bees,insect,3
honey bees,apidae,28
honey bees,learning,1
honey bees,honey,6
honey bees,american foulbrood,34
honey bees,division of labor,5
varroa jacobsoni,pollination,1
varroa jacobsoni,honeybees,10
varroa jacobsoni,foraging,9
varroa jacobsoni,hymenoptera,3
varroa jacobsoni,apis,45
varroa jacobsoni,pollen,1
varroa jacobsoni,insect,3
varroa jacobsoni,apidae,28
varroa jacobsoni,learning,1
varroa jacobsoni,honey,6
varroa jacobsoni,american foulbrood,34
varroa jacobsoni,division of labor,5
pollination,honeybees,10
pollination,foraging,9
pollination,hymenoptera,3
pollination,apis,45
pollination,pollen,1
pollination,insect,3
pollination,apidae,28
pollination,learning,1
pollination,honey,6
pollination,american foulbrood,34
pollination,division of labor,5
varroa destructor,honeybees,10
varroa destructor,foraging,9
varroa destructor,hymenoptera,3
varroa destructor,apis,45
varroa destructor,pollen,1
varroa destructor,insect,3
varroa destructor,apidae,28
varroa destructor,learning,1
varroa destructor,honey,6
varroa destructor,american foulbrood,34
varroa destructor,division of labor,5
honeybees,foraging,9
honeybees,hymenoptera,3
honeybees,apis,45
honeybees,pollen,1
honeybees,insect,3
honeybees,apidae,28
honeybees,learning,1
honeybees,honey,6
honeybees,american foulbrood,34
honeybees,division of labor,5
foraging,hymenoptera,3
foraging,apis,45
foraging,pollen,1
foraging,insect,3
foraging,apidae,28
foraging,learning,1
foraging,honey,6
foraging,american foulbrood,34
foraging,division of labor,5
hymenoptera,apis,45
hymenoptera,pollen,1
hymenoptera,insect,3
hymenoptera,apidae,28
hymenoptera,learning,1
hymenoptera,honey,6
hymenoptera,american foulbrood,34
hymenoptera,division of labor,5
apis,pollen,1
apis,insect,3
apis,apidae,28
apis,learning,1
apis,honey,6
apis,american foulbrood,34
apis,division of labor,5
pollen,insect,3
pollen,apidae,28
pollen,learning,1
pollen,honey,6
pollen,american foulbrood,34
pollen,division of labor,5
insect,apidae,28
insect,learning,1
insect,honey,6
insect,american foulbrood,34
insect,division of labor,5
juvenile hormone,apidae,28
juvenile hormone,learning,1
juvenile hormone,honey,6
juvenile hormone,american foulbrood,34
juvenile hormone,division of labor,5
apidae,learning,1
apidae,honey,6
apidae,american foulbrood,34
apidae,division of labor,5
propolis,learning,1
propolis,honey,6
propolis,american foulbrood,34
propolis,division of labor,5
learning,honey,6
learning,american foulbrood,34
learning,division of labor,5
honey,american foulbrood,34
honey,division of labor,5
american foulbrood,division of labor,5
