Label,weight
allergen, 3
acarapis woodi (rennie), 2
self-organisation, 2
transcriptional expression, 2
dwv, 2
path analysis, 2
evo_ecol, 2
genotoxicity, 2
small cell, 2
nosema ceranae, 2
central pattern generator, 2
nuclear transfer, 2
cytochrome p450 monooxygenase, 2
inoculum dispenser, 2
cellular signalling, 2
corazonin, 2
insect cells, 2
pollen trap, 2
mutation, 2
nosema-disease, 2
artificial feeding, 2
devbio, 2
xylem, 1
vitellogenin gene, 1
latex sensitization, 1
alerting, 1
heavy metal, 1
ion channels, 1
cytokines, 1
bombus ignitus, 1
island syndrome, 1
bwindi-uganda, 1
skunk vine, 1
rawalpindi, 1
varroa haplotypes, 1
iflavirus, 1
clip domain, 1
egg weight, 1
hyperaccumulation, 1
inflammation, 1
hormone, 1
floral resource subsidies, 1
kashmir virus, 1
cost of production, 1
heuristic search, 1
colony life history, 1
salt grease patties, 1
exploitative competition, 1
map kinase, 1
endemic plant species, 1
campsis radicans, 1
aloe greatheadii var. davyana, 1
honey markets, 1
api m 6, 1
flower visitation, 1
insect hemolymph, 1
oxalic acid dihydrate, 1
honeybee genome, 1
pollen patties, 1
distyly, 1
agroecosystems, 1
f-actin, 1
wild plants, 1
morph differences, 1
biomass, 1
ascidian ciona intestinalis, 1
pollen load colours, 1
functional characterisation, 1
search asymmetries, 1
walnut smoke, 1
long-branch attraction artifact, 1
acromyrmex echinatior, 1
deforestation, 1
pollination syndrome, 1
animal groups, 1
botanical extracts, 1
swarm guidance, 1
egocentric information, 1
broad-complex, 1
collective behaviour, 1
dendritic spines, 1
allelic variation, 1
transcription factors, 1
leucomyosuppressin, 1
deutzia, 1
cineraria maritima, 1
colony survival, 1
api m 3, 1
retrotransposition, 1
coccus hesperidum, 1
synaptic plasticity, 1
queue, 1
forager, 1
stiffness, 1
buckwheat, 1
extracellular matrix (ecm), 1
non-peroxide activity, 1
top-down effects, 1
south india, 1
lipid metabolism, 1
genome duplication, 1
honey-bees mating optimization, 1
intraspecific social parasitism, 1
european beewolf, 1
nectar robber, 1
nosema, 1
heterothalamus alienus, 1
carbonylation, 1
retinoblastoma tumor suppressor, 1
pten, 1
sensory sensitivity, 1
vegetable production, 1
hemoglobin, 1
trace amines, 1
nasonia vitripennis, 1
sexual selection, 1
web design, 1
seminal vesicles, 1
