pheromone perception,1
Mast cell degranulating peptide,1
alkyl amine,1
azasteroids,1
entrainment by feeding cycles,1
histopathology,1
glial cell degeneration,1
interspecifically mixed colonies,1
behavioral responses,1
thermal balance,1
social group,1
peritrophic membrane,1
Juvenile Hormone III,1
cannibalism,1
alkanes,1
Mimicrysolitary bees,1
insect mating behaviour,1
anticipation of feeding time,1
pheromone production,1
queen acceptance,1
cytopathology,1
ventilation,1
sting gland,1
ectotherms,1
Ecballium elaterium,1
