Label,weight
apis dorsata, 3
survival, 3
apis florea, 3
tropilaelaps clareae, 2
subfamily, 2
apis mellifera (l.), 2
identification, 2
thailand, 2
colony defence, 2
memory, 2
brood cells, 2
essential oils, 2
nepotism, 2
dna fingerprinting, 2
rflp, 1
reference isolates, 1
conditioned proboscis extension, 1
dependence on host conditions, 1
polypeptides, 1
survival analysis, 1
northern blotting, 1
biotic pollination, 1
phoma, 1
genotype environment interaction, 1
amphipathic, 1
rrna, 1
cistaceae, 1
vitamin e, 1
bumblebee, 1
two-queen colonies, 1
methoprene, 1
protease, 1
polarity, 1
electron microscopy, 1
phenolics, 1
death, 1
clinal selection, 1
flower colours, 1
inbreeding, 1
chicken embryo, 1
16srrna, 1
ethology, 1
schistocerca americana (insecta), 1
acheta domesticus, 1
lepidoptera, 1
cymiazole, 1
crucifer aphids, 1
nassanov gland, 1
argentina, 1
neuropeptide formation, 1
microvilli formation, 1
teleogryllus commodus (l.), 1
ventral nerve cord, 1
drosophila melanogaster meigen, 1
treatment efficacy, 1
insect flight muscle, 1
lethal dose, 1
synchronization, 1
aspergillus flavus, 1
penicillium, 1
sequence-tagged site (sts), 1
galleria mellonella (l.), 1
nestmate, 1
first gonocycle, 1
haplodiploidy, 1
drone production, 1
venom delivery, 1
kinetics, 1
phosphorylation, 1
iran, 1
hoarding behaviour, 1
chemosensory system, 1
mrna, 1
parental care, 1
trypsin inhibitor, 1
locomotor activity, 1
tolerance against varroatosis, 1
pollen substitutes, 1
cantaloupes, 1
intracolonial worker relationship, 1
sheaths, 1
eucalyptus largiflorens, 1
scent marking, 1
nerolic acid, 1
sodium currents, 1
vesiculated cells, 1
notochord, 1
blood lipids, 1
hypertrehalosemic factor, 1
disease transmission, 1
monoclonal antibody, 1
photoreceptor neuron, 1
honeybee diseases, 1
amoebiasis, 1
morphometric analysis, 1
spore passage, 1
recognition, 1
nestmate discrimination, 1
meliponinae, 1
melliferous flora, 1
genetic gain monte carlo simulation, 1
invasion behaviour, 1
nauphoeta cinerea, 1
aspergillus niger, 1
choice behaviour, 1
confined environment, 1
apis andreniformis, 1
stonebrood, 1
colony foraging, 1
whole-cell patch clamp, 1
spatial cognition, 1
endophallus, 1
attractant, 1
cyclic amp, 1
isozyme, 1
almond pollination, 1
trigona carbonaria, 1
pyralidae, 1
sax1 (chox3), 1
reproductive conflict, 1
inhibition of amidating enzyme, 1
mitochondrial dna sequences, 1
cistus, 1
metarhizium anisopliae, 1
potassium currents, 1
sociobiology, 1
transgenic plant, 1
motor control, 1
mustard, 1
hive design, 1
calcium currents, 1
secondary structure, 1
mating frequency, 1
molecular evolution, 1
tremble dance, 1
hyperlipemia, 1
raspberry, 1
expression, 1
cricket paralysis virus (crpv), 1
nadph diaphorase, 1
norm of reaction, 1
endopterygota, 1
metarhizium flavoviride, 1
worker interaction, 1
morphometries, 1
cytochrome oxidase subunit ii gene, 1
apple, 1
osmia cornuta, 1
glycyl peptide hydroxylation, 1
laboratory tests, 1
granulated cells, 1
social synchronization, 1
vasopressin, 1
dwarf honey bee, 1
trnaucn ser gene, 1
hollow, 1
probit analysis, 1
dances, 1
whole blood clotting time, 1
schistocerca gregaria, 1
pathogenicity, 1
diuresis, 1
maturation, 1
merogony, 1
management, 1
sound perception, 1
fatty acid esters, 1
discrimination, 1
crowding, 1
cystatin, 1
host choice, 1
rapd markers, 1
cdna clones, 1
membrane-active peptides, 1
ectoparasitic mite (varroa jacobsoni), 1
foraging sites, 1
feral colonies, 1
kin selection, 1
aspirin, 1
glia, 1
paper wasp, 1
relationship, 1
cytochrome b gene, 1
defensive behavior, 1
american foulbrood disease, 1
tetraponera rufoniger, 1
proteaceae, 1
cyclic gmp, 1
nasonov, 1
colour association, 1
oxygen-honeybees apis mellifera, 1
intercellular bridges, 1
beauveria bassiana, 1
regent parrot, 1
inhibition of ache, 1
dimethoate, 1
sting response, 1
long distance transport, 1
hplc post-column enzyme reactor, 1
macadamia integrifolia, 1
malus pumila, 1
sensory biology, 1
wheat germ agglutinin, 1
retinue response, 1
gut endocrine cells, 1
spinal cord, 1
lectin, 1
colony state, 1
epitope mapping, 1
polistes, 1
signal peptides, 1
melons, 1
entomogamous cultivated species, 1
exopterygota, 1
beetle, 1
polytelis anthopeplus, 1
attractants, 1
aspergillus fumigatus, 1
anaphylaxis, 1
nest site, 1
bee pathology, 1
physico-chemical analysis, 1
queen cells, 1
reference compound, 1
parasitic intensity, 1
productivity, 1
antenna, 1
queen mandibular pheromone, 1
developmental expression, 1
hexokinase, 1
cucumis melo, 1
life expectancy, 1
halimium, 1
neurohemal organ, 1
glutamate dehydrogenase, 1
gene duplication hexokinase, 1
closed population diploid drones, 1
supersisters, 1
drosophila c virus (dcv), 1
flea beetle, 1
n-methylcarbamates, 1
neurosecretory cells, 1
lactic acid, 1
victoria, 1
kin, 1
paecilomyces, 1
alanine aminotransferase, 1
enzyme kinetics, 1
extreme nucleotide content, 1
newborn infants, 1
virus strain, 1
navigation, 1
paleoptera, 1
organophosphorus insecticides, 1
fighting, 1
protein divergence, 1
honeybees (apis mellifera), 1
insect behaviour, 1
pesticide residues, 1
spain, 1
virus isolate, 1
nsaids, 1
eucalyptus camaldulensis, 1
plant resins, 1
indomethacin, 1
