Label,weight
dna sequence diversity, 3
subunit, 2
sige, 2
braula coeca, 2
chemical dissimilarity, 2
odor identity coding, 2
phoresis, 2
16s rdna, 2
rt-qpcr, 2
degradation, 2
nd5, 2
calcium-imaging, 2
laguncularia racemosa, 2
bhutan, 2
glomerular pattern, 2
coi, 2
odor concentration coding, 2
bothrops neuwiedi diporus, 1
marker assisted breeding, 1
conditional logic, 1
method of honey harvesting, 1
digital modelling, 1
three-season-forage-buffet, 1
lespedeza, 1
genomic response, 1
small hive beetle larvae, 1
cognitive mapping, 1
bee optic lobe, 1
soil biota, 1
spiders, 1
mite plate damage, 1
reverse transcription loop-mediated isothermal amplification (rt-lamp), 1
5-hydroxyflavylium, 1
nutritional limitation, 1
corn dressing, 1
homocysteine, 1
iberian honey bee, 1
lc-ms2 proteomics, 1
polycystic ovarian syndrome (pcos), 1
myrmecofauna, 1
crotalus durissus terrificus, 1
traditional hive, 1
oecd guidance document 75, 1
bee hive langstroth, 1
genetic recoding, 1
diuretic hormone, 1
tenascin, 1
ecochemistry, 1
experience-dependent, 1
organosilicon, 1
dienes, 1
effective attraction radius, 1
brood odour, 1
total midgut protease activity, 1
chiasmognathus, 1
isreal acute paralysis virus (iapv), 1
honeybee venom (hbv), 1
transglucosylation, 1
cardol, 1
hex 110, 1
heme, 1
hot defensive bee ball formation, 1
filtered error, 1
manihot esculenta crantz, 1
licking behaviour, 1
salmonella, 1
stress test, 1
intestinal tract, 1
bamboo pole bee hive, 1
ochratoxin, 1
protein modification, 1
sicilian honeys, 1
food collection, 1
insect contamination, 1
proline-rich peptide, 1
shrimp (marsupenaeus japonicus), 1
resource distribution, 1
asexual, 1
virus-like particle, 1
cardanol, 1
supering, 1
leucine leucine aminopeptidase, 1
acacia paradoxa, 1
peripheral nmda receptor, 1
peripheral navigation, 1
drone comb trapping, 1
propolis (source:cab), 1
cds, 1
lizard-pollination, 1
histological picture, 1
reactivation, 1
yield variation, 1
bromelain, 1
asclepias syriaca, 1
anhydroerythromycin, 1
multiple sclerosis, 1
vespa mandarinia, 1
amphotericin b, 1
machine learning, 1
hyperoxia, 1
botanical species, 1
in-hive experience, 1
environmental and food samples, 1
limiting dilution, 1
co 2 narcosis, 1
rves v 5, 1
lethal temperature, 1
sex-or reproduction-related genes, 1
limotettix vaccinii, 1
sugar threshold, 1
heavy water, 1
chemiluminescence immunoassay, 1
structural equation modeling (sem), 1
bacterial community, 1
peritrophic membranes, 1
pollinivory, 1
package bees, 1
peptidases, 1
behavioral effect, 1
polygonum bistorta, 1
galerkin method, 1
led, 1
candida suthepensis, 1
multipoint, 1
type iii gland cell, 1
biosystematics, 1
amanita phalloides, 1
natural variation, 1
digital evaluation, 1
visual angle, 1
ovarian transcriptome, 1
developmental phases, 1
crystalloid, 1
epigenome, 1
photochemistry, 1
age cohorts, 1
secondary metabolite, 1
organo-phosphate, 1
managed honeybees, 1
antiproliferative activity, 1
dna importance, 1
cgms system, 1
sensory physiology, 1
chagas disease chemotherapy, 1
aversive stimuli, 1
aerial dispersal, 1
landscape heterogeneity, 1
transovarial transmission, 1
winter within-hive mortality, 1
benzoyl, 1
clock genes, 1
duct, 1
pollen season, 1
skin irritation, 1
daughter mites, 1
minimum bactericidal concentration, 1
microdialysis, 1
metalloproteases, 1
buehler test, 1
non-tumor cells, 1
visiting insects, 1
pospiviroidae, 1
spring oilseed rape, 1
palinological techniques, 1
floral corn pollen, 1
kani tribes, 1
self-administration, 1
tool plants, 1
extrinsic neuron, 1
production traits, 1
sucrase, 1
brood thermoregulation, 1
sample, 1
biotope, 1
honey bee mating optimization (hmbo) algorithm, 1
radical-pair, 1
cadherin, 1
markets, 1
number of sperms, 1
black honeybees, 1
pollinator importance, 1
resource selection function, 1
habitat quality, 1
chemotherapeutics, 1
chimpanzee, 1
honey bees learning curve, 1
brain expression, 1
langstroth beehive, 1
flower shape, 1
polluted and clean environment, 1
sylvia, 1
pavlovian learning, 1
fibrinogen-related domains, 1
low-abundance proteome, 1
redgum, 1
fuel cell, 1
competitive exclusion principle, 1
asian giant hornet, 1
portion-dilution model, 1
prenylated compounds, 1
biochemical composition, 1
water network calibration, 1
worker-bees, 1
sperm precedence, 1
bacillus subtilis subsp. subtilis, 1
c-reactive protein (crp), 1
tetraloniella, 1
trigona sp., 1
honeybee glands, 1
mean flight height, 1
naked rnas, 1
biodiesel feedstocks, 1
configural stimulus, 1
zygoascus clade, 1
microbiota, 1
flower structure, 1
enzyme-linked immunosorbent assay (elisa), 1
photogrammetry, 1
negative contrast effects, 1
carrot, 1
microcrystalline wax, 1
andiroba, 1
pallinology, 1
neural network, 1
future perspectives, 1
native, 1
agrosystem, 1
hybrid generation ii, 1
in silico screening, 1
signal noise, 1
proteolipid protein, 1
accrpl11, 1
immune, 1
methodology, 1
wildflower seed production, 1
predator-prey signalling, 1
interaction potential, 1
rna-seq, 1
quaresmeira, 1
insect olfaction, 1
flow rate approximation, 1
pathway, 1
a. m. mellifera, 1
bee-colony, 1
pollen transfer efficiency, 1
collective memory, 1
nesting support, 1
low cost measure, 1
post-operative sleep disruption, 1
pcr inhibitor, 1
serial electron microscopy, 1
plant-soil feedback, 1
nurse worker, 1
lipopolysaccharides, 1
synchrony, 1
types, 1
technology package, 1
insect-pollination, 1
immune-related gene expression, 1
protease activity, 1
16s rdna amplicon 454 pyrosequencing, 1
consumer claim, 1
chromatographic analysis, 1
initial strength of bee colonies, 1
lethal toxicity, 1
room temperature, 1
steinernema carpocapsae, 1
public perceptions, 1
genetic similarity, 1
comb orientation, 1
mating frequencies, 1
genetically modified crops, 1
heterorhabditis bacteriophora, 1
nitrogen and protein content, 1
cry protein, 1
cynanchum ellipticum, 1
snp assay, 1
anemophilous species, 1
roadside, 1
invertebrate toxicology, 1
nutritional deficiencies, 1
vitamin c, 1
predicted overlapping gene, 1
maize seed-dressing, 1
honeybee viral infections, 1
foraging trade-off, 1
allergenic site, 1
agroecosystem, 1
synergistic effects, 1
fucosyltransferase, 1
mellifera, 1
planting method, 1
dimethylsulfoxide, 1
stocking density, 1
saprophyte, 1
genetic parameters, 1
rosa hybrida, 1
mite fall, 1
parasitic prevalence, 1
escherichia coli lipopolysaccharide, 1
chelifer, 1
hepassocin, 1
co-existence, 1
winter out-flying of bees, 1
honey bee hemolymph, 1
species invasion, 1
honeybee lines, 1
melissopalynological analysis, 1
chaetorellia succinea, 1
cage experiments, 1
natural acaricide, 1
anti- inflammatory, 1
bee allergy, 1
sodium dodecylsulfate-polyacrylamide gel electrophoresis, 1
aversion learning, 1
antimicrobials, 1
coloss, 1
tetragonula carbonaria, 1
fruit tree, 1
a pis mellifera, 1
basophil activation test, 1
queen signals, 1
methylglyoxal, 1
fragrance traps, 1
piceatannol, 1
horseradish peroxidase, 1
serum nitrate, 1
indigenous population, 1
neurogenic inflammation, 1
foliar fertilization, 1
species distribution modeling, 1
antineoplastic, 1
foraging signal, 1
cry1ah, 1
induced resistance, 1
rapi m 1, 1
corpus luteum, 1
constraints, 1
cymbidium pendulum, 1
nematoda, 1
flower dimensions, 1
apiguard, 1
lipid storage droplet 1, 1
bothrops alternatus, 1
discriminanat analysis, 1
flower relations, 1
physicochemical data, 1
seoul, 1
pigments, 1
allergic reaction, 1
ovary and brain proteome, 1
coconut mite, 1
radio-smog, 1
medicine, 1
bioindication, 1
phylloscopus, 1
food-anticipatory activity, 1
brain gene expression, 1
operation size, 1
cysteine biosynthesis, 1
atmospheric factors, 1
colonial signature, 1
mediterranean fruit fly, 1
flax oil, 1
red, 1
above-below ground interactions, 1
2010-11, 1
migration of bees, 1
interactions, 1
mite damage, 1
evolution of polyandry, 1
polyphenol content, 1
colony loss presentation, 1
bifidobacteria, 1
pollination success, 1
california, 1
imaging, 1
branching routes, 1
functional enrichment, 1
pathogen detection, 1
rhoa, 1
insect transmission, 1
thyreus, 1
wind insectassisted pollination, 1
associated separate gene hypothesis, 1
wpip1, 1
nesting dynamics, 1
egg yolk, 1
nuclear, 1
proteominer, 1
la palma, 1
american, 1
abnormal cristae, 1
specific ige, 1
brain maturation, 1
cape verde islands, 1
sugar intake, 1
pigeonpea (cajanus cajan), 1
illumina-solexa sequencing, 1
degs, 1
annelida, 1
interpatch, 1
collagen, 1
acetylcholine mimics, 1
heat shock protein 8, 1
crude fat content, 1
octopamine receptor, 1
sesamum radiatum, 1
genectic selection, 1
food analysis, 1
cysteine-rich peptide, 1
anesthesiology, 1
oxalic acid spray application, 1
interspecific information exchange, 1
mercury, 1
ciprofloxacin, 1
acid receptor a, 1
entomopathogenic agents, 1
nonphotic cues, 1
lima valley, 1
herbivore resistance, 1
bee (apis mellifera), 1
flagship species, 1
keratinocytes, 1
motility, 1
honey proteome, 1
post-capping period, 1
iranian honey bee, 1
chestnut catkins, 1
neuroplasticity, 1
urban, 1
bee queens, 1
disaccharidases, 1
universal primers, 1
mixture interaction, 1
colony defence behaviour, 1
photoperiod, 1
recombinant major allergens, 1
dynamic environment, 1
mid-atlantic agriculture, 1
dige, 1
grafting larvae, 1
insect genome sequencing, 1
dimocarpus longan, 1
ionic liquids, 1
pollination crisis, 1
peptide libraries, 1
seed predation, 1
buffer strips, 1
nbm-hd-1, 1
branch and bound algorithm, 1
protection and conservation of germplasm, 1
movement patterns, 1
plant-plant interactions, 1
wind energy, 1
manova, 1
obligate autogamy, 1
formamidines., 1
time memory, 1
flower selection, 1
cinnamates, 1
rac, 1
oil-collecting bees, 1
mite removal, 1
osmia rufa (l.), 1
endothelial cell, 1
infochemicals, 1
snodgrassella, 1
acetate-sheet technique, 1
floral synchronism, 1
nicotinic-acetylcholine receptor molecular structure, 1
mudpit, 1
form, 1
nosemosis type c, 1
moronic acid, 1
oleaginous crop, 1
fumonisin, 1
varanus sp., 1
pcp line, 1
sectional image, 1
apiwarol as, 1
parklands, 1
sucrose concentration, 1
balkan peninsula, 1
accuracy, 1
bottom scraps, 1
ball formation, 1
tarnished plant bug, 1
immunolocalization, 1
pollen basket, 1
visual odometry, 1
survey insects, 1
cry1ah toxin, 1
polyethylene glycol, 1
western honeybee development, 1
time of day, 1
single nucleotide polymorphism, 1
cacybp, 1
flickering behavior, 1
associated fauna, 1
adaptability, 1
modified honey bee mating optimization (mhbmo), 1
hemiptera, 1
tension zone, 1
flower number, 1
duranta mandonii, 1
shock-response assay, 1
recombinant species-specific major allergens, 1
macaronesia, 1
iturin, 1
myrmecina nipponica, 1
ethylene glycol, 1
epizootiology, 1
zygomycota, 1
iflaviridae, 1
third instar larva, 1
lygus, 1
human clotting time, 1
head weight, 1
honey harvesting, 1
mite offspring mortality, 1
single nucleotide polymorphism (snp), 1
gallotia stehlini, 1
balance selection, 1
ginseng, 1
social insects caste determination polyphenism methylation-specific aflp, 1
hydrocyanic acid, 1
honeybee defense, 1
