2016-06-15	Why do Varroa mites prefer nurse bees?	mites show host nurses mite preference adult benefit colony 
2016-06-01	B+WSN: Smart beehive with preliminary decision tree analysis for agriculture and honey bee health monitoring	data sensor classification algorithm parameters beehive important network energy 
2016-06-01	Sucrose sensitivity of honey bees is differently affected by dietary protein and a neonicotinoid pesticide	protein sucrose food drug thiamethoxam dietary colony survival effects 
2016-06-01	Specific immune stimulation by endogenous bacteria in honey bees (Hymenoptera: Apidae)	bacteria immune potential environmental endogenous immunomodulatory strains development associated 
2016-06-01	Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos	expression viability queens coumaphos doses compounds treated sperm immune 
2016-06-01	Selective Behaviour of Honeybees in Acquiring European Propolis Plant Precursors	resins bud plant black antimicrobial selective behavior sources resin 
2016-06-01	Honeybees produce millimolar concentrations of non-neuronal acetylcholine for breeding: Possible adverse effects of neonicotinoids	brood food larval neonicotinoids gland content concentrations hypopharyngeal smooth 
2016-06-01	Varroa destructor and viruses association in honey bee colonies under different climatic conditions	colonies treatment virus climate subtropical infestation received temperate conditions 
2016-06-01	Isoform-specific modulation of the chemical sensitivity of conserved TRPA1 channel in the major honeybee ectoparasitic mite, Tropilaelaps mercedesae	mercedesae channel activated one two chemical potential major compounds 
2016-06-01	Rapid and Reliable Method for Analyzing Acaricides in Honey-Based Products	analytical solution standard range method limits products determining affects 
2016-06-01	Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows	pollen species flower mixes resource seed meadows resources per 
2016-05-31	Non-cultivated plants present a season-long route of pesticide exposure for honey bees	pollen foraging neonicotinoid pollinator plants growing pyrethroid pollution levels 
2016-05-07	MelissAR: Towards augmented visual analytics of honey bee behaviour	based support system design effective reality relevant implementation interface 
2016-05-01	The status of honey bee health in Italy: Results from the nationwide bee monitoring network	colony paralysis mortality hive health virus seasonal samples prevalence 
2016-05-01	Weakness and collapse of bee colonies in Brazil: Are there cases of CCD?	collapse pathogens colonies possible causes mainly associated recorded pesticides 
2016-05-01	Chronic toxicity and physiological changes induced in the honey bee by the exposure to fipronil and Bacillus thuringiensis spores alone or combined	physiological enzyme effects spores phosphate bacterial combined fipronil chemical 
2016-05-01	Acute exposure to selenium disrupts associative conditioning and long-term memory recall in honey bees (Apis mellifera)	selenium sublethal exposure memory conditioning learning form ability recall 
2016-05-01	A toolbox for quantitative gene expression in varroa destructor: RNA degradation in field samples and systematic analysis of reference gene stability	gene genes expression stable quality chain high studies reference 
2016-05-01	Natural Varroa mite-surviving Apis mellifera honeybee populations	populations mite wild destructor survival mellifera work mites pest 
2016-05-01	Disease dynamics of honeybees with Varroa destructor as parasite and virus vector	virus mites effects parasitic population dynamics infections adult phoretic 
2016-05-01	Multiyear survey targeting disease incidence in US honey bees	disease loads across positive paralysis destructor prevalence virus poor 
2016-05-01	Modulation of pesticide response in honeybees	environmental response variability health assessment risk factors pesticide conditions 
2018-02-15	A 3-year survey of Italian honey bee-collected pollen reveals widespread contamination by agricultural pesticides	samples pesticide environmental least pesticides positive higher dietary pollen 
2018-02-14	Study of the metatranscriptome of eight social and solitary wild bee species reveals novel viruses and bee parasites	viruses virus species including wild solitary associated found diversity 
2018-02-08	Short-Term Exposure to Lambda-Cyhalothrin Negatively Affects the Survival and Memory-Related Characteristics of Worker Bees Apis mellifera	
2018-02-08	Effects of neonicotinoid imidacloprid exposure on bumble bee (Hymenoptera: Apidae) queen survival and nest initiation	queen exposure imidacloprid bumble nest foraging spring queens reduced 
2018-02-01	The immunological dependence of plant-feeding animals on their host’s medical properties may explain part of honey bee colony losses	properties may plants overview also secondary declines question causative 
2018-02-01	Nosema ceranae disease of the honey bee (Apis mellifera)	ceranae pathology observations infection colony high research individual effects 
2018-02-01	Specialty oilseed crops provide an abundant source of pollen for pollinators and beneficial insects	pollen oilseed crops production beneficial potentially cuphea pollinator protein 
2018-02-01	Reproduction of parasitic mites Varroa destructor in original and new honeybee hosts	host mite reproduction brood trait lack due rise neither 
2018-02-01	Characterization of gut bacterial flora of Apis mellifera from north-west Pakistan	gut bacterial bacteria beneficial microbiota isolates study followed sequencing 
2018-02-01	Stress decreases pollen foraging performance in honeybees	foraging pollen behaviour higher reduced nectar flight metabolic rate 
2018-02-01	From field to food—will pesticide-contaminated pollen diet lead to a contamination of royal jelly?	pesticides used concentrations contamination fed low queen larval produce 
2018-02-01	Genomes of the Hymenoptera	genomes needed least sequencing assembly progress represent sequenced genome 
2018-01-15	Classical and geometric morphometric methods reveal differences between specimens of Varroa destructor (Mesostigmata: Varroidae) from seven provinces of Iran	morphometric geometric used specimens analysis classical six surface located 
2018-01-07	Nutritional Physiology and Ecology of Honey Bees	colony food pollen regulate labor primary proportions done division 
2018-01-02	Determining the minimum number of pollen grains needed for accurate honey bee (Apis mellifera) colony pollen pellet analysis	pollen taxa floral taxonomic count grains minor number three 
2018-01-01	Using colony monitoring devices to evaluate the impacts of land use and nutritional value of forage on honey bee health	colony used devices scales health pollen two weight growing 
2018-01-01	Lactobacillus kunkeei strains decreased the infection by honey bee pathogens Paenibacillus larvae and Nosema ceranae	larvae mixture beneficial adult ceranae infected effect improve probiotics 
2018-01-01	Lethal effects of Cr(III) alone and in combination with propiconazole and clothianidin in honey bees	heavy propiconazole neonicotinoid clothianidin mellifera agricultural low pesticides urban 
2018-01-01	Epormenis cestri secretions in Sebastiania schottiana trees cause mass death of honey bee Apis mellifera larvae in Uruguay	larvae mortality nectar secretions affected healthy abundant larval located 
2018-01-01	The impact of selected pesticides on honey bees	elements trace pesticides tested plant protection study survival possibly 
2018-01-01	Primary data in pollination services mapping: potential service provision by honey bees (Apis mellifera) in Cumberland and Colchester, Nova Scotia	ecosystem model data services mapping field utilized resource using 
2018-01-01	Honey yield of different commercial apiaries treated with Lactobacillus salivarius A3iob, a new bee-probiotic strain	hives treated higher fed yield main impact economy flora 
2018-01-01	Honey bee (Apis mellifera) nurses do not consume pollens based on their nutritional quality	pollens nutritional nurses liquid protein coming hypopharyngeal consume diets 
2018-01-01	Mitigating effects of pollen during paraquat exposure on gene expression and pathogen prevalence in Apis mellifera L	pollen oxidative gene effects viral well presence survival expression 
2018-01-01	Effect of pollen extract supplementation on the varroatosis tolerance of honey bee (Apis mellifera) larvae reared in vitro	tolerance pollen weight effect loss larval seems complete laboratory 
2018-01-01	The first report of the prevalence of Nosema ceranae in Bulgaria	ceranae apis species showed chain samples main parts polymerase 
2018-01-01	Decline of bumble bees in northeastern North America, with special focus on Bombus terricola	conservation severe species found decline regions population records may 
2018-01-01	Comparative chronic toxicity of three neonicotinoids on New Zealand packaged honey bees	weight environmental neonicotinoids population colonies sublethal effects exposure size 
