Label,weight
saudi arabia, 3
syrup, 3
floral traits, 3
varroa infestation, 3
ovarioles, 3
mathematical modelling, 3
water supply, 2
emphorini, 2
protein marking, 2
insect navigation, 2
positive selection, 2
sexual reproduction, 2
synthetic brood pheromone, 2
mortality analysis, 2
laying hen, 2
translocation, 2
temporal stability, 2
floral evolution, 2
bee larvae, 2
fat cell, 2
two-photon microscopy, 2
lactobacillus johnsonii, 2
volatile organic compounds, 2
bee product, 2
btl, 2
sunbirds, 2
brain asymmetry, 2
hypopharyngeal, 2
rna-interference, 2
floral visitor, 2
plant communities, 2
bayesian inference, 2
location, 2
epigenetic, 2
pollen yield, 2
plant extract, 2
aapis mellifera, 2
emptying oviducts, 2
mycobacterium bovis, 1
wetlands, 1
cucumis melo l., 1
allergenic proteases, 1
fruit set rate, 1
peripheral insulin-like signaling, 1
extended organism, 1
adrenal cortex, 1
beewolf, 1
bee-gut microbiota, 1
tagetes minuta l, 1
pollinic composition, 1
adult honey bees, 1
laser scanning microscopy, 1
world organisation for animal health, 1
africanized honeybee stings, 1
niche models, 1
passion fruit, 1
africanized honeybee queens, 1
gut homeostasis, 1
stress reactivity, 1
insect symbiosis, 1
long-term culture, 1
adult mosquito insecticides, 1
ecological conditions, 1
high royal jelly producing honeybee, 1
sulfamides, 1
eye irritaion, 1
leucas aspera, 1
uniqueness, 1
dcfh-da, 1
emphorina, 1
transcript expression, 1
herbicide, 1
morphometric traits, 1
lc-esi-ms/ms, 1
insect olfactory system, 1
burgerjon, 1
subtropical dry forest, 1
animal personality, 1
bryophytes, 1
physical-chemical composition, 1
coccinella undecimpunctata, 1
oligolectic bees, 1
mitophagy, 1
spring treatments, 1
hepatocytes, 1
haccp, 1
traditional harvesting, 1
percentage of emergence, 1
queen mating, 1
extractors, 1
one-step reverse transcription polymerase chain reaction (one step rt-pcr), 1
thermal foraging niche, 1
gamospermy, 1
local resource competition, 1
serine protease, 1
pigment-dispersing factor, 1
honey-sugar patty, 1
procollagen type i, 1
