Label,weight
memory specificity, 2
honeybee health, 2
directional asymmetry, 2
stress response, 2
pesticide residue, 2
bombus lapidarius, 2
large old trees, 2
systemic reaction, 2
candida, 2
nosema sp, 2
apiology, 2
anticipatory mechanism, 2
individual variation, 2
black honeybee, 2
networks, 2
mitogenome, 2
dicyclohexylamine, 2
yolk, 2
eusocial species, 2
dch, 2
biomarkers, 2
social physiology, 2
leptus, 1
prebiotic, 1
cetoniid, 1
growth stage, 1
himalayan region, 1
rural pollution, 1
successive projections algorithm, 1
diluted semen, 1
retinue workers, 1
hypoxia response, 1
therapeutics, 1
ab_2313867, 1
eec-abc, 1
bio-insecticides, 1
dual choice test, 1
bacterial interference, 1
hyperthermia, 1
brood cell dimensions, 1
mixed-effects models, 1
metarhzium sp., 1
diplorickettsia, 1
pteridine, 1
short chain dehydrogenase reductase, 1
trypanosomatids, 1
assay, 1
nectar economics, 1
aromatic plant, 1
combination therapy, 1
livelihood & rural youths, 1
high-resolution respirometry, 1
pathogen survey, 1
adult bee mass, 1
invasive alien plants, 1
honey bee drone, 1
animal colour vision, 1
land use intensification, 1
flower-piercing, 1
atomic force microscopy, 1
decision tree analysis, 1
genome resequencing, 1
triple quadrupole mass spectrometry (gc-ms/ms), 1
phosphorus 30 ch, 1
disorientation, 1
honeybee wax comb, 1
ab_557403, 1
apis mellifera survival, 1
postmenopausal syndrome, 1
wsn, 1
non-target arthropod, 1
anti-influenza activity, 1
introgressive hybridization, 1
beeclinic, 1
forage quality, 1
accumulation, 1
honeybee queen pheromone, 1
faunistics, 1
host parasite interaction, 1
rnai risk assessment, 1
thai commercial honey bee, 1
mating of bees, 1
synergist, 1
primorsky honey bee, 1
prairie, 1
ire1, 1
nonphotic zeitgeber, 1
varroa-resistant, 1
depression, 1
intrinsic development rate, 1
l-leucine, 1
viral infection transmission, 1
bombus funebris, 1
next-generation sequencing (ngs), 1
mutualistic symbiosis, 1
anti-varroa treatment, 1
small rnas, 1
anarchistic colony, 1
royal cheats, 1
modis, 1
seminal fluid protein, 1
floral polymorphism, 1
maillard reaction, 1
respiratory quotient, 1
non-coding sequence, 1
development of organs, 1
insect fauna, 1
clonal complex 12 strain, 1
anthelmintic, 1
neuropharmacology, 1
apis melifera melifera, 1
bacterial pathogenesis, 1
hemerocallis, 1
