Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Cruz-Landim C.","Ultrastructural aspects of the cardiac muscle in Apis mellifera L., (Hymenoptera apinae) [Aspectos ultraestruturais do músculo cardíaco de Apis mellifera L. (Hymenoptera, apinae)]",1974,"Revista brasileira de biologia","34","1",,"105","113",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016145883&partnerID=40&md5=0c7fd0c00bdc5c48df4a0561d9ccaa44",,"Cruz-Landim, C.",[No abstract available],,Article,,Scopus,2-s2.0-0016145883
"Trautmann K.H., Masner P., Schuler A., Suchý M., Wipf H.-K.","Evidence of the Juvenile Hormone Methyl(2E,6E)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate(JH-3) in Insects of Four Orders",1974,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","29","11-12",,"757","759",,55,10.1515/znc-1974-11-1218,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016231459&doi=10.1515%2fznc-1974-11-1218&partnerID=40&md5=679c7eb5c8ad5531a1e8ef592f8a0ae4","Dr. R. Maag AG, Dielsdorf, Switzerland; Socar AG, Dübendorf, Switzerland","Trautmann, K.H., Dr. R. Maag AG, Dielsdorf, Switzerland; Masner, P., Dr. R. Maag AG, Dielsdorf, Switzerland; Schuler, A., Dr. R. Maag AG, Dielsdorf, Switzerland; Suchý, M., Socar AG, Dübendorf, Switzerland; Wipf, H.-K., Socar AG, Dübendorf, Switzerland","With the help of radioactive dilution analysis allowing the qualitative and quantitative determination of all three presently known juvenile hormones (JH-1 to 3) the following seven species of four orders were investigated in the adult stage: Coleoptera: Tenebrio molitor, Leptinotarsa decemlineata; Orthoptera: Schistocerca gregaria; Blattodea: Blatta orientalis, Leucophaea maderae, Nauphoeta cinerea; Hymenoptera: Apis mellifera. In all these species of the 3 known juvenile hormones only methyl (2E.6E)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate (JH-3) was found, in an amount of 0.5 to 11 ng per gram of body weight. The results of the chemical analyses were confirmed biologically by the Galleria wax test. The results demonstrate the wide spread occurrence of JH-3 in insects of different orders. © 1974, Walter de Gruyter. All rights reserved.","Insects; Juvenile Hormones; Quantitative Determination",Article,,Scopus,2-s2.0-0016231459
"Simpson J., Greenwood S.P.","Influence of artificial queen-piping sound on the tendency of honeybee, Apis mellifera, colonies to swarm",1974,"Insectes Sociaux","21","3",,"283","287",,4,10.1007/BF02226919,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250424119&doi=10.1007%2fBF02226919&partnerID=40&md5=4c1c55a2db76147b68bb8487b9ae7f19","Rothamsted Experimental Station, Harpenden, Herts, United Kingdom","Simpson, J., Rothamsted Experimental Station, Harpenden, Herts, United Kingdom; Greenwood, S.P., Rothamsted Experimental Station, Harpenden, Herts, United Kingdom","Sinusoidal 650 Hz vibrations, pulsed in a manner similar to that of the piping sound made by queen honeybees, were applied to hives containing colonies of bees. When the vibrations were applied to four hives containing very small colonies with unmated queens less than one week old, all four colonies swarmed, leaving no bees in their hives. Sixteen slightly larger colonies, also containing queens a few days old, were divided into two groups of eight. One group received vibrations and five of the colonies in it swarmed, each leaving a proportion of its bees in its hive. The other eight colonies did not receive vibrations and none of them swarmed. © 1974 Masson & Cie.",,Article,,Scopus,2-s2.0-34250424119
"Menzel R., Snyder A.W.","Polarised light detection in the bee, Apis mellifera",1974,"Journal of Comparative Physiology","88","3",,"247","270",,78,10.1007/BF00697958,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016204968&doi=10.1007%2fBF00697958&partnerID=40&md5=8218a7b0cb6ba1ff777770eb08fd18c8","Department of Neurobiology, Research School of Biological Sciences, Australia; Fachbereich Biologie-Zoologie Technische Hochschule, Schnittspahnstr. 3, Darmstadt, D-6100, Germany; Institute of Advanced Studies, Research School of Physical Sciences, Australian National University, Canberra, Australia","Menzel, R., Department of Neurobiology, Research School of Biological Sciences, Australia, Fachbereich Biologie-Zoologie Technische Hochschule, Schnittspahnstr. 3, Darmstadt, D-6100, Germany; Snyder, A.W., Institute of Advanced Studies, Research School of Physical Sciences, Australian National University, Canberra, Australia","The ninth cell in each ommatidium is the only retinula cell that acts as a polarised light detector. The ninth cell is a short retinula cell which is found in the proximal third of the ommatidium. This conclusion is based on the following observations: (1) The most frequently found green sensitive cells have either no or very low sensitivity to polarised light. This is caused by electric coupling of cells with different microvilli orientations. The electric coupling was found to be independent of adaptation state. (2) There are two different types of UV receptors: the more frequently found UV cells also have a distinct spectral sensitivity at longer wavelengths (>450 nm) and a small polarisation sensitivity. A very rarely recorded UV receptor type with no sensitivity to longer wavelengths (>450 nm) has a high polarisation sensitivity (average PS = 5, maximal PS = 9). All recordings of these UV cells were made close to the basement membrane in the region of the 9th cell. (3) The short length of the 9th cell, its position in the proximal third of the ommatidium, and the orientation of the microvilli is theoretically consistent with it having a high polarisation sensitivity. To find evidence for the mechanisms underlying the integration of polarisation information coming from the 9th cells, we examined the microvilli orientation of these cells in neighbouring ommatidia in different eye regions. While the medio-ventral eye region contains only one population, with microvilli oriented at 45 ° to the vertical, the dorsal and medio-dorsal eye regions contain two populations lying at 120 ° or 60 ° to each other. The pattern of microvilli orientation is a mirror image in both eyes. This pattern enables an unambiguous determination of the polarisation plane in the dorsal and medio-dorsal eye part if there is a comparison of excitation in the 9th cells of neighbouring ommatidia and/or ommatidia in the two eyes sharing the same field of view. Our conclusions are consistent with v. Frisch's findings on the orientation to polarised light by the worker bee. © 1974 Springer-Verlag.",,Article,,Scopus,2-s2.0-0016204968
"Labhart T.","Behavioral analysis of light intensity discrimination and spectral sensitivity in the honey bee, Apis mellifera",1974,"Journal of Comparative Physiology ■ A","95","3",,"203","216",,4,10.1007/BF00625444,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250412421&doi=10.1007%2fBF00625444&partnerID=40&md5=175d761865118cb0d97101dece4a5b82","Department of Zoology, University of Zürich, Zürich, Switzerland","Labhart, T., Department of Zoology, University of Zürich, Zürich, Switzerland","1. The spontaneous choice behavior of bees between two lights-a reference light of constant intensity (Ic) and a test light of variable intensity (Iv)-was tested by means of a binary choice apparatus. 2. The intensity discrimination threshold for white light was determined in an intensity range of five powers of ten. Defining 65% choice frequency as reaction threshold, an intensity difference of 14.5% is perceived at the highest intensity tested (Ic=3.6 W/m2=relative intensity 1). This difference increases only slightly, to 18.7%, with a decrease in relative intensity to 10-3, but at a relative intensity of 10-4 it increases to 57.2% (Fig. 3). 3. According to these findings the least potential difference noted at receptor niveau is about 1 mV as can be determined by means of the intensity characteristic of the photoreceptors (Fig. 8). 4. The intensity discrimination sensitivity in ultraviolet, blue, and green monochromatic light was determined. No significant differences were found (Fig. 4). 5. An action spectrum, i.e., the spectral sensitivity function of the spontaneous phototactic choice behavior was determined by measuring the intensities of different monochromatic lights which are equally attractive as the constant reference light (Ic). It has maxima in the ultraviolet (350-360 nm) and in the green range (530-540 nm; Fig. 5). The relative amplitude of the maxima depends on the intensity of the reference light: The green sensitivity decreases when the intensity of the reference light is increased (Fig. 7, insert). © 1974 Springer-Verlag.",,Article,,Scopus,2-s2.0-34250412421
"Kindås-Mügge I., Lane C.D., Kreil G.","Insect protein synthesis in frog cells: The translation of honey bee promelittin messenger RNA in Xenopus oocytes",1974,"Journal of Molecular Biology","87","3",,"451","462",,32,10.1016/0022-2836(74)90096-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016291270&doi=10.1016%2f0022-2836%2874%2990096-5&partnerID=40&md5=49371ff764dc91124b77ef33b0cefa9a","Institute of Molecular Biology, Austrian Academy Sciences Wasagasse 9, A-1090 Vienna, Austria; Medical Research Council Laboratory of Molecular Biology Hills Road, Cambridge, England","Kindås-Mügge, I., Institute of Molecular Biology, Austrian Academy Sciences Wasagasse 9, A-1090 Vienna, Austria; Lane, C.D., Medical Research Council Laboratory of Molecular Biology Hills Road, Cambridge, England; Kreil, G., Institute of Molecular Biology, Austrian Academy Sciences Wasagasse 9, A-1090 Vienna, Austria","Venom glands of young queen bees (Apis mellifera) synthesize the toxic peptide melittin as their main product. Melittin is formed by proteolytic cleavage of a precursor, promelittin. Unfractionated RNA prepared from venom glands was injected into Xenopus oocytes and was shown to direct the synthesis of a promelittin-like substance. About half of the peptide chain made in oocytes has been sequenced; the 17 amino acid residues identified correspond exactly with sequences found in promelittin from venom gland cells. These results yield final proof that injected messenger RNAs can be read with great fidelity. The translation of a messenger from an insect gland shows that at least some of the translational systems within the oocyte are neither cell-type nor phylum specific. It seems likely that the oocyte can be used to assay any kind of eukaryotic mRNA. The conversion of promelittin to melittin could not be detected in oocytes. Moreover, the promelittin synthesized in oocytes differs at the carboxyl end from the product made in gland cells, for the latter terminates with glutamine amide while the oocyte material probably ends with an amino acid with a free α-carboxyl group. Some of the post-translational modifications characteristic of gland cells thus do not seem to take place in oocytes. © 1974.",,Article,,Scopus,2-s2.0-0016291270
"Allalouf D., Ber A., Ishay J.","Hyaluronidase in the mucus accessory glands of the drone (Apis mellifera)",1974,"Experientia","30","8",,"853","855",,1,10.1007/BF01938321,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016393755&doi=10.1007%2fBF01938321&partnerID=40&md5=6e0bad7d2b08c50a4c8325d417edaa4c","Endocrinogical Department of the Rogoff-Wellcome Medical Research Institute, Beilinson Hospital, Petah Tikva, Israel; Department of Physiology and Pharmacology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel","Allalouf, D., Endocrinogical Department of the Rogoff-Wellcome Medical Research Institute, Beilinson Hospital, Petah Tikva, Israel, Department of Physiology and Pharmacology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel; Ber, A., Endocrinogical Department of the Rogoff-Wellcome Medical Research Institute, Beilinson Hospital, Petah Tikva, Israel, Department of Physiology and Pharmacology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel; Ishay, J., Endocrinogical Department of the Rogoff-Wellcome Medical Research Institute, Beilinson Hospital, Petah Tikva, Israel, Department of Physiology and Pharmacology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel",[No abstract available],,Article,,Scopus,2-s2.0-0016393755
"Ribi W.A.","Neurons in the first synaptic region of the bee, Apis mellifera",1974,"Cell and Tissue Research","148","2",,"277","286",,26,10.1007/BF00224588,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016240454&doi=10.1007%2fBF00224588&partnerID=40&md5=604c6dfa0fb664a5082441e35a03f88a","Department of Zoology, University of Zurich, Switzerland","Ribi, W.A., Department of Zoology, University of Zurich, Switzerland","The retina-lamina projection in the visual pathway of the bee was studied by the reduced silver and Golgi techniques. Two main types of visual cell axons (R-fibres) were found: (1) at least two forms of short visual fibres terminate at two levels in the lamina; (2) the long visual fibres cross the first optic chiasma and terminate at two different levels of higher order neurons in the medulla. Six short and three long visual fibres leave each retinula in the bee's eye. Whereas two types of short visual cells can be distinguished by the arborization patterns of Golgi-stained preparations, as well as by their fibre diameters, three different types of long visual fibres can be found. In each cartridge (""neuroommatidium"") the six short visual cells closely appose three monopolar cells (L-fibres, second order neurons). Thus each axon bundle crossing the first (or intermediate) chiasma contains at least six large argyrophilic fibres (three long visual cells and three monopolar cells), and these can be seen in cross-sections of reduced silver preparations. In addition, centrifugal fibres originating in the medulla and terminating in the lamina as well as amacrine (intrinsic) cells of the lamina have been resolved by Golgi impregnation. © 1974 Springer-Verlag.","Apis mellifera; Insect visual system; Light microscopy; Retina-lamina projection",Article,,Scopus,2-s2.0-0016240454
"De Lucca F.L., Giorgini J.F., Calabrese A.","Effects of heat, urea and dimethylsulfoxide on ribosomal RNA of the honey bee (Apis mellifera L.)",1974,"Experientia","30","2",,"149","151",,3,10.1007/BF01927700,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016392439&doi=10.1007%2fBF01927700&partnerID=40&md5=3ece29903fb1e6dcba610f9d24a25313","Departamento de Bioquímica, Faculdade de Medicina da Universidade de São Paulo, Ribeirão Preto, 14.100, S.P., Brazil","De Lucca, F.L., Departamento de Bioquímica, Faculdade de Medicina da Universidade de São Paulo, Ribeirão Preto, 14.100, S.P., Brazil; Giorgini, J.F., Departamento de Bioquímica, Faculdade de Medicina da Universidade de São Paulo, Ribeirão Preto, 14.100, S.P., Brazil; Calabrese, A., Departamento de Bioquímica, Faculdade de Medicina da Universidade de São Paulo, Ribeirão Preto, 14.100, S.P., Brazil",[No abstract available],,Article,,Scopus,2-s2.0-0016392439
"Stort A.C.","Genetic study of aggressiveness of two subspecies of apis mellifera in brazil 1. Some tests to measure aggressiveness",1974,"Journal of Apicultural Research","13","1",,"33","38",,46,10.1080/00218839.1974.11099756,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951583882&doi=10.1080%2f00218839.1974.11099756&partnerID=40&md5=28ac91674253837997b75556cfbb64f4","Faculdade de Filosofia, Ciências e Letras de Araraquara 14.800, Araraquara, SP, Brazil","Stort, A.C., Faculdade de Filosofia, Ciências e Letras de Araraquara 14.800, Araraquara, SP, Brazil","Five tests based on the use of small leather balls, kept in motion just outside the hive entrance, were used to evaluate the relative aggressiveness of Italian (Apis mellifera ligustica) and Africanized bees (Apis mellifera adansonii) in Brazil. The tests were: period before the first sting; period before becoming fierce; number of stings in the observer’s gloves; number of stings in the leather ball; distance that the bees followed the observer. Data obtained from 5 colonies of Italian bees and 9 of Africanized bees showed that the latter were significantly more aggressive. © 1974 International Bee Research Association.",,Article,,Scopus,2-s2.0-84951583882
