Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Hunt G.J., Page Jr. R.E., Fondrk M.K., Dullum C.J.","Major quantitative trait loci affecting honey bee foraging behavior",1995,"Genetics","141","4",,"1537","1545",,136,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028803310&partnerID=40&md5=dea49161d1d66d99f633c232f40b6966","Entomology Hall, Purdue University, West Lafayette, IN 47907-1158, United States","Hunt, G.J., Entomology Hall, Purdue University, West Lafayette, IN 47907-1158, United States; Page Jr., R.E., Entomology Hall, Purdue University, West Lafayette, IN 47907-1158, United States; Fondrk, M.K., Entomology Hall, Purdue University, West Lafayette, IN 47907-1158, United States; Dullum, C.J., Entomology Hall, Purdue University, West Lafayette, IN 47907-1158, United States","We identified two genomic regions that affect the amount of pollen stored in honey bee colonies and influence whether foragers will collect pollen or nectar. We selected for the amount of pollen stored in combs of honey bee colonies, a colony-level trait, and then used random amplified polymorphic DNA (RAPD) markers and interval mapping procedures with data from backcross colonies to identify two quantitative trait loci (pln1 and pln2, LOD 3.1 and 2.3, respectively). Quantitative trait loci effects were confirmed in a separate cross by demonstrating the cosegregation of marker alleles with the foraging behavior of individual workers. Both pln1 and pln2 had an effect on the amount of pollen carried by foragers returning to the colony, as inferred by the association between linked RAPD marker alleles, D8-3f and 301-55, and the individual pollen load weights of returning foragers. The alleles of the two marker loci were nonrandomly distributed with respect to foraging task. The two loci appeared to have different effects on foraging behavior. Individuals with alternative alleles for the marker linked to pln2 (but not pln1) differed with respect to the nectar sugar concentration of their nectar loads.",,Article,,Scopus,2-s2.0-0028803310
"Božič J., Valentinčič T.","Quantitative analysis of social grooming behavior of the honey bee Apis mellifera carnica",1995,"Apidologie","26","2",,"141","147",,23,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028993004&partnerID=40&md5=a1ff2fadf3bc28a62eabb87f61bbc376","Department of Biology, University Ljubljana, Večna pot 111, 61000 Ljubljana, Slovenia","Božič, J., Department of Biology, University Ljubljana, Večna pot 111, 61000 Ljubljana, Slovenia; Valentinčič, T., Department of Biology, University Ljubljana, Večna pot 111, 61000 Ljubljana, Slovenia","We obserserved social grooming behavior in the Carniolan bee, Apis mellifera carnica. Bouts of grooming lasted up to 45 s, and were directed to the wing axis (44.6%), the petiolus (18%) and the sternite regions of abdomen (2.8%) of the receiving bee (41 bees). During grooming, the receiving bees held their wings perpendicular to the body axis. Groomer bees most often cleaned those body parts which could not be reached during self-cleaning by receiving bees. During 18% of the grooming time, groomer bees cleaned their own mouth parts and antennae. The grooming behavior removed dust and pollen from the wing bases and petiolus and realigned the body hairs. No attempts to remove Varroa mites were observed during self-cleaning or social grooming behavior. © 1995.","Apis mellifera carnica; ectoparasite; grooming dance; self-cleaning; social grooming; Varroa jacobsoni",Article,,Scopus,2-s2.0-0028993004
"Faucon J.P., Drajnudel P., Fléché C.","Mise en évidence d'une diminution de l'efficacité de l'Apistan® utilisé contre la varroose de l'abeille (Apis mellifera L)",1995,"Apidologie","26","4",,"291","296",,25,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029505119&partnerID=40&md5=676e0ddf9feb54b4d8526a0e4d117732","Centre national d'études vétérinaires et alimentaires - Sophia Antipolis, laboratoire de pathologie des petits ruminants et des abeilles, Les Templiers, 105, route des Chappes, 06410 Biot, France","Faucon, J.P., Centre national d'études vétérinaires et alimentaires - Sophia Antipolis, laboratoire de pathologie des petits ruminants et des abeilles, Les Templiers, 105, route des Chappes, 06410 Biot, France; Drajnudel, P., Centre national d'études vétérinaires et alimentaires - Sophia Antipolis, laboratoire de pathologie des petits ruminants et des abeilles, Les Templiers, 105, route des Chappes, 06410 Biot, France; Fléché, C., Centre national d'études vétérinaires et alimentaires - Sophia Antipolis, laboratoire de pathologie des petits ruminants et des abeilles, Les Templiers, 105, route des Chappes, 06410 Biot, France","Varroa disease is a very serious parasitosis of the bee, which induces important hive losses. Fluvalinate (Apistan®) has been one of the most widely used acaricides since 1989. In 1992, 1993 and 1994, ineffective treatments were observed in Italy and then France, and the hypothesis of a resistance was put forward. The therapeutic efficacy of fluvalinate was estimated in experiments performed in 1992, 1993 and 1994. Groups of colonies from different areas were thus treated for 32-34 d with 2 strips placed in contact with the cluster. Mite mortality was checked with fatted detector boards on hive bottom boards. A treatment with amitraz (Anti-Varroa Schering®) to determine the residual infestation of adult bees was performed the day following the strip withdrawal. Brood infestation was checked by examination of 100 capped cells, by entire brood hatching in an incubator, and by counting the mites on emerging bees. The results showed a decrease in efficacy in the Italian colonies in which fluvalinate therapeutic efficacy fell to 29.7% in 1994. The dosage of fluvalinate in the strips before and after treatment and their good positioning with regard to the bees did not allow us to incriminate a misuse of Apistan® strips. In France, the therapeutic efficacy will be examined at the Italian border during an investigation of all apiaries. © 1995.","Apis mellifera; Apis mellifica; efficacité; efficacy; fluvalinate; résistance; resistance; Varroa disease; varroose",Article,,Scopus,2-s2.0-0029505119
"Butz Huryn V.M.","Use of native new zealand plants by honey bees (apis mellifera L.): A review",1995,"New Zealand Journal of Botany","33","4",,"497","512",,19,10.1080/0028825X.1995.10410621,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029526320&doi=10.1080%2f0028825X.1995.10410621&partnerID=40&md5=5d6fbf810f195fc56d83da46637040b7","Department of Zoology, University of Otago, P. O. Box 56, Dunedin, New Zealand","Butz Huryn, V.M., Department of Zoology, University of Otago, P. O. Box 56, Dunedin, New Zealand","A review of the literature indicated that honey bees collect pollen or nectar from 224 native plant taxa including 188 species, 119 genera, and 67 families in New Zealand. However, only 12 families contain the majority of honey bee forage sources. Plant taxa providing surplus quantities of honey and taxa with most citations were used to indicate intensity of honey bee use and revealed that only a very small proportion is used intensively. Potential effects on animal species overlapping in resource use with honey bees in the few specialised plant-pollinator relationships in New Zealand are discussed as well as potential impacts on the native flora. Forage sources used by honey bees are compared with those plants known or suspected to be threatened or rare. © 1995 Taylor & Francis Group, LLC.","Apis mellifera; Nectar; New Zealand flora; Pollen; Pollinators; Specialisation; Surplus honey; Threatened flora",Article,,Scopus,2-s2.0-0029526320
"Pankiw T., Winston M.L., Slessor K.N.","Queen attendance behavior of worker honey bees (Apis mellifera L.) that are high and low responding to queen mandibular pheromone",1995,"Insectes Sociaux","42","4",,"371","378",,20,10.1007/BF01242165,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029175564&doi=10.1007%2fBF01242165&partnerID=40&md5=45c3484738b2afccabf5a8d78f4681cc","Department of Biological Sciences, Simon Fraser University, Burnaby, V5A 1S6, B. C., Canada; Department of Chemistry, Simon Fraser University, Burnaby, V5A 1S6, B. C., Canada","Pankiw, T., Department of Biological Sciences, Simon Fraser University, Burnaby, V5A 1S6, B. C., Canada; Winston, M.L., Department of Biological Sciences, Simon Fraser University, Burnaby, V5A 1S6, B. C., Canada; Slessor, K.N., Department of Chemistry, Simon Fraser University, Burnaby, V5A 1S6, B. C., Canada","Queen attendance behavior of workers from selected honey bee colonies with high and low worker retinue response to synthetic queen mandibular gland pheromone (QMP) was investigated. Antennating, licking, grooming, and feeding of the queen by workers from high and low responding colonies were examined. High and low QMP responding workers did not attend the queen differently. However, workers originating from different colonies antennated and licked the queen more frequently than others, suggesting there may be a genetic basis for queen attendance behavior not necessarily associated with response to QMP. The median age of queen attendance was independent of strain. © 1995 Birkhäuser Verlag.","Apis mellifera; queen attendance; queen pheromone",Article,,Scopus,2-s2.0-0029175564
"Huryn V.M., Moller H.","An assessment of the contribution of honey bees (Apis mellifera) to weed reproduction in New Zealand protected natural areas",1995,"New Zealand Journal of Ecology","19","2",,"111","122",,21,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028995652&partnerID=40&md5=628df9140f823fa2be80b6effb0cf49a","Univ.Otago,Dept Zool., Dunedin, New Zealand","Huryn, V.M., Univ.Otago,Dept Zool., Dunedin, New Zealand; Moller, H., Univ.Otago,Dept Zool., Dunedin, New Zealand",[No abstract available],,Article,,Scopus,2-s2.0-0028995652
"Boleli I.C., Hartfelder K., Simoes Z.L.","Serotonin-like immunoreactivity in the central nervous and neuroendocrine system of honey bee (Apis mellifera) larvae and pupae",1995,"Zoology","99","1",,"58","67",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029187786&partnerID=40&md5=1b7a2e2db4fb4ef4f5fe3ac6afefae91","Univ.SP,Dept Biol., Ribeirao Preto, 14040-901, Brazil","Boleli, I.C., Univ.SP,Dept Biol., Ribeirao Preto, 14040-901, Brazil; Hartfelder, K., Univ.SP,Dept Biol., Ribeirao Preto, 14040-901, Brazil; Simoes, Z.L., Univ.SP,Dept Biol., Ribeirao Preto, 14040-901, Brazil",[No abstract available],,Article,,Scopus,2-s2.0-0029187786
"García-Fernández P., Rodriguez R.B., Orantes-Bermejo F.J.","Influence of climate on the evolution of the population dynamics of the Varroa mite on honeybees in the south of Spain [Influence du climat sur le développement de la population de Varroa jacobsoni Oud dans des colonies d'Apis mellifera iberica (Goetze) dans le sud de l'Espange]",1995,"Apidologie","26","5",,"371","380",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029188065&partnerID=40&md5=2dd83d63b454d82d7cae4f8f41919cdf","Departamento de Producción Animal, Centro de Investigación y Desarrollo Agrario (CIDA), Consejería de Agricultura y Pesca, Junta de Andalucia, C/Camino de Purchil s/n, 18004 Grenade Espagne; Departamento de Parasitología, Facultad de Farmacia, Universidad de Granada, Campus Universitario La Cartuja, 10071 Grenade, Spain","García-Fernández, P., Departamento de Producción Animal, Centro de Investigación y Desarrollo Agrario (CIDA), Consejería de Agricultura y Pesca, Junta de Andalucia, C/Camino de Purchil s/n, 18004 Grenade Espagne; Rodriguez, R.B., Departamento de Parasitología, Facultad de Farmacia, Universidad de Granada, Campus Universitario La Cartuja, 10071 Grenade, Spain; Orantes-Bermejo, F.J., Departamento de Producción Animal, Centro de Investigación y Desarrollo Agrario (CIDA), Consejería de Agricultura y Pesca, Junta de Andalucia, C/Camino de Purchil s/n, 18004 Grenade Espagne","The population dynamics of the mite Varroa jacobsoni were studied in colonies of honeybees (Apis mellifera iberica) in the south of Spain (Andalusia), a region of wide climatic contrasts. Between July 1990 and October 1992, samples and data were collected monthly from 26 beehives untreated for parasites. The colonies were located in 9 apiaries in 3 areas with different climates (fig 1). The development of the mite population was measured by determining the infestation rate of Varroa mite in adult bee, in brood cells and the mortality per month. In the 3 different climatic areas studied: mediterranean, continental and oceanic (MCO), continental mediterranean (CM) and mediterranean subtropical (MS), the mean infestation rates were 9.9, 4.1 and 6.1 mites per 100 adult bees, respectively. The mean number of mites per 100 brood cells was 34.2, 17.8, and 24.8. The overall mean of mite infestation in the study was 8.2 mites per 100 bees, ie 29.5 mites per 100 brood cells (table I). Monthly differences in maximal infestation were observed in the areas studied (fig 2). In these areas V jacobsoni speeds up its biological cycle compared with the descriptions reported by other authors in continental Europe. V jacobsoni reaches its infective maxima earlier in the sampling stations with colder climates (CM) than in those with hotter climates (CMO). The results of our study confirm the observation of Woyke (1987) that V jacobsoni stays longer in sealed cells when climates are colder. The parasitic mite thus completes more reproductive cycles in the same period of time, speeds up the population growth. Milder climates favour global infestation rates to be higher in hotter areas (CMO). This totally different behaviour can be observed on the mediterranean coast of the Iberian Peninsula (MS). The effects of the climate in this area, together with the occurrence of efflorescence (autochtonic, from subtropical cultivations or from greenhouse cultivations) throughout the year, cause fast development of the parasitic mite leading to the death of honeybee colonies within a few months. Our study shows that the phenology and climate conditions of a region are 2 main factors which affect and modify V jacobsoni population dynamics. © 1995.","Apis mellifera iberical; climate; dynamic population; Spain; Varroa jacobsoni",Article,,Scopus,2-s2.0-0029188065
"Stabentheiner A., Kovac H., Hagmüller K.","Thermal behavior of round and wagtail dancing honeybees",1995,"Journal of Comparative Physiology B","165","6",,"433","444",,40,10.1007/BF00261297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029201358&doi=10.1007%2fBF00261297&partnerID=40&md5=e0e9556afb808ecbdf8d4497408589a3","Institut für Zoologie, Karl-Franzens-Universität Graz, Universitätsplatz 2, Graz, A-8010, Austria","Stabentheiner, A., Institut für Zoologie, Karl-Franzens-Universität Graz, Universitätsplatz 2, Graz, A-8010, Austria; Kovac, H., Institut für Zoologie, Karl-Franzens-Universität Graz, Universitätsplatz 2, Graz, A-8010, Austria; Hagmüller, K., Institut für Zoologie, Karl-Franzens-Universität Graz, Universitätsplatz 2, Graz, A-8010, Austria","The thermal behavior of round and wagtail dancing honeybees (Apis mellifera carnica) gathering sucrose solutions of concentrations between 0.5 and 2 mol·l-1 was investigated under field conditions by infrared thermography (30-506 m flight distance). During the stay inside the hive thoracic surface temperature ranged from 31.4 to 43.9 °C. In both round and wagtail dancing honeybees the concentration of sucrose in the food influenced dancing temperature in a non-linear way. Average dancing temperature was 37.9 °C in foragers gathering a 0.5 mol·l-1 sucrose solution, 40.1°C with a 1 mol·l-1, 40.6°C with a 1.5 mol·l-1 and 40.7°C with a 2 mol·l-1 solution. The variability of thoracic temperature was highest with the 0.5 mol·l-1 and lowest with the 1.5 and 2 mol·l-1 concentrations. Thoracic temperatures during trophallactic contact with hive bees were similar to dancing temperature at 1.5 mol·l-1 but lower at the other concentrations. During periods of distribution of food to hive bees (trophallactic contact &gt;2.5s) the dancers' thorax cooled down by more than 0.5°C considerably more frequently with the 0.5 mol·l-1 solution (65% of cases) than with the 1.5 mol·l-1 solution (26%). By contrast, heating the thorax up by more than 0.5°C was infrequent with the 0.5 mol·l-1 solution (2%) but occurred at a maximum rate of 26% with the 1.5 mol·l-1 solution. Bees gathering the 1 or 2 mol·l-1 solutions showed intermediate behavior. Linear model analysis showed that at higher concentrations the dancers compensated better for variations of hive air temperature: per 1 °C increase of hive temperature dancing temperature increased by 0.34, 0.22, 0.12, and 0.13 °C with 0.5, 1, 1.5, and 2 mol·l-1 sucrose solutions, respectively. The results furnish evidence that dancing honeybees follow a strategy of ""selective heterothermy"" by tuning their thermal behavior to the needs of the behavior performed at the moment. Thoracic temperature is regulated to a high level and more accurately when fast exploitation of profitable food sources is recommended. Thoracic temperature is lowered when the ratio of gain to costs of foraging becomes more unfavorable. © 1995 Springer-Verlag.","Dancing; Honeybee, Apis mellifera; Thermal behavior; Thermography; Thermoregulation",Article,,Scopus,2-s2.0-0029201358
"Kaiser W.","Rest at night in some solitary bees - a comparison with the sleep-like state of honey bees",1995,"Apidologie","26","3",,"213","230",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028812419&partnerID=40&md5=ebb8abb79a74c1f650cc078fa206b858","Institut für Zoologie der Technischen Hochschule Darmstadt, Schnittspahnstr, 3, 64287 Darmstadt, Germany","Kaiser, W., Institut für Zoologie der Technischen Hochschule Darmstadt, Schnittspahnstr, 3, 64287 Darmstadt, Germany","The nightly resting behaviour of some solitary bees (Epeolus, Triepeolus, Protepeolus, Anthophora, and Melecta) was studied in the laboratory and compared with results obtained previously in honey bees. Similarities and differences in physiological and behavioural correlates of rest were found; only honey bees exhibit marked amounts of antennal motility. © 1995.","Apoidea / solitary bee / Apis mellifera / rest at night / sleep / behavioural physiology",Article,,Scopus,2-s2.0-0028812419
